"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"21",35.5593201166311,324.476530491831,1089.06295000387,2158.15831643838,3263.99153836447,4302.20253881943,5252.19444486585,6119.00241274354,6913.4995597286,7646.57149994687,8327.64487492611,8964.52400708463,9563.58571939573,10130.0371317647,10668.1502578435,11181.4544301247,11672.8882470866,12144.917962819,12599.6295105072,13038.8002427035,13463.9551733991,13876.4113750476,14277.3132871727,14667.6610109717,15048.3331539977,15420.1054095716,15783.665773514,16139.6270904729,16488.5374645337,16830.888950003,17167.1248481373,17497.6458667404,17822.8153466184,18142.9637178841,18458.3923171597,18769.3766716646,19076.1693363924
"22",32.2334111728924,306.770931699547,1081.37039683231,2192.20349338763,3341.01182496822,4412.71421577768,5386.76544568758,6270.27400491299,7076.01954328295,7816.31603507336,8501.61194214091,9140.43957382831,9739.69956990124,10304.9815138431,10840.8411152793,11351.0214231181,11838.624402626,12306.2428881615,12756.0621174822,13189.9382420087,13609.4594586369,14015.9939877418,14410.7280387127,14794.6961000506,15168.8052999035,15533.8551492268,15890.5536607944,16239.5306015367,16581.3484603348,16916.5115820666,17245.4738196132,17568.6449802184,17886.3962849239,18199.0650153352,18506.9584874297,18810.3574651193,19109.5191050254
"23",29.1997204409156,289.462139295211,1073.42958022846,2227.6457296515,3420.77031764053,4526.34661215979,5524.2481236989,6423.9758344898,7240.39285019845,7987.32935573151,8676.29664479505,9316.57241982578,9915.58682298609,10479.3118758941,11012.5842976222,11519.3570590164,12002.891376232,12465.9026155724,12910.671519831,13339.1295611663,13752.9249792537,14153.4743289701,14542.0030787271,14919.5778671358,15287.1323498471,15645.4880783711,15995.3714956645,16337.4278714719,16672.2328069812,17000.301794323,17322.098208321,17638.0400260952,17948.5055077303,18253.8380232887,18554.3501743401,18850.3273292624,19142.0306688663
"24",26.4358651597241,272.589203505092,1065.23413660022,2264.53994377537,3503.32301099137,4643.09845526571,5664.58217116705,6580.00543209676,7406.49247944684,8159.47369518171,8851.56012955363,9492.78902802768,10091.1233496049,10652.9158638196,11183.2804633599,11686.3754606911,12165.616674103,12623.8375961151,13063.4104393369,13486.3383674472,13894.3264305734,14288.8366534731,14671.1312300359,15042.3067088,15403.3212903465,15755.0168092896,16098.1365776124,16433.3399777793,16761.2144823497,17082.2856199988,17397.0252906887,17705.8587444468,18009.1704711403,18307.3091972705,18600.5921461789,18889.3086872517,19173.7234755963
"25",23.9206042602267,256.188857674979,1056.77768934805,2302.94260268814,3588.72283738644,4762.96135550962,5807.69978222596,6738.25458466571,7574.18810115527,8332.6102733245,9027.26445124405,9668.95825103929,10266.1884226612,10825.6851930051,11352.8347132552,11851.9953356862,12326.7323541693,12779.9926697202,13214.2357305664,13631.5326409024,14033.6419599844,14422.0682849021,14798.1079930966,15162.8853110272,15517.3810208079,15862.4555089994,16198.8674261467,16527.2889105338,16848.3180995274,17162.4894822729,17470.2825213339,17772.1288761583,18068.4184895568,18359.5047436434,18645.7088495762,18927.3236027904,19204.6166099215
"26",21.6338846206016,240.295033157884,1048.0538658967,2342.91167987071,3677.01926457531,4885.9195984582,5953.52582375509,6898.60976125222,7743.34657825586,8506.59980427182,9203.27300757126,9844.95164944197,10440.6649561326,10997.5157963149,11521.1566601481,12016.1399822176,12486.174982305,12934.3169843548,13363.108274098,13774.6840510379,14170.8530347997,14553.1594811036,14922.9314136238,15281.3185229224,15629.3222360921,15967.8197925971,16297.5836861439,16619.2974903572,16933.5688375446,17240.9401374964,17541.8974881651,17836.8781290294,18126.2767116947,18410.4506042505,18689.7244013697,18964.3937776969,19234.7287952473
"27",19.5568630505566,224.938406736022,1039.0563166826,2384.50660108995,3768.25788915248,5011.94997911302,6101.97805504412,7060.95256733569,7913.83249243653,8681.30299001523,9379.45094933698,10020.6438012475,10614.4397152151,11168.3079455607,11688.1604760126,12178.7372767072,12643.8855743336,13086.763904919,13509.9928629348,13915.7678295844,14305.9443085794,14682.103299717,15045.6019519048,15397.6132330908,15739.1573123729,16071.1266202321,16394.3060369179,16709.3892900243,17016.9923755115,17317.6646214877,17611.8978701636,17900.1341461289,18182.7720984014,18460.1724424429,18732.6625814576,19000.5405501123,19264.0783957024
"28",17.6719078690495,210.145995271972,1029.77873625546,2427.78817659902,3862.48002950019,5141.02168134761,6252.96739422098,7225.16022299055,8085.50866983649,8856.58099694934,9555.66556446967,10195.9125820991,10787.4034980307,11337.9663475552,11853.7649176628,12339.7196443226,12799.8095252383,13237.2909131429,13654.8580831894,14054.7626402587,14438.9034866187,14808.8954646119,15166.1223541833,15511.778248929,15846.9001964257,16172.3941977582,16489.0561050025,16797.5885596506,17098.6148300796,17392.6901988077,17680.3113977447,17961.9244763034,18237.931402202,18508.6956304164,18774.5468265819,19035.7848933053,19292.6834184856
"29",15.9625837180262,195.940811406446,1020.21488666087,2472.81851870286,3959.72232214697,5273.09620487898,6406.39822882946,7391.10606016522,8258.23670215078,9032.29591238913,9731.78663455409,10370.6394161408,10959.4512896491,11506.4002159795,12017.8933325464,12499.024013984,12953.8965269458,13385.8594996913,13797.6761900621,14191.6504463397,14569.7211912406,14933.5342336374,15284.4975264387,15623.8241790315,15952.566298451,16271.6418810956,16581.8563806235,16883.920155398,17178.4626961411,17466.0443149167,17747.1658156019,18022.2765467458,18291.7811484842,18556.0452377887,18815.4002249857,19070.1474150337,19320.5615165077
"30",14.4136229557174,182.341592426589,1010.35862327886,2519.66094360171,4060.01632571428,5408.12734156746,6562.16876740543,7558.66003423872,8431.87745908124,9208.31117861153,9907.68676291643,10544.709497753,11130.4823893545,11673.5233203862,12180.4736460882,12656.5917592811,13106.100476004,13532.4350496255,13938.4229800655,14326.4163768196,14698.3908274728,15056.0202681007,15400.7344108408,15733.7633188831,16056.1723885145,16368.8900843151,16672.7301378233,16968.40947163,17256.5627906771,17537.754551117,17812.4888479331,18081.2176375326,18344.3476182423,18602.2460213498,18855.2455118929,19103.6483574242,19347.7299913059
